program_id	GO_BP	synGO	LoF
108	GOBP_OXIDATIVE_PHOSPHORYLATION (4.18e-38) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (1.09e-28) | GOBP_CELLULAR_RESPIRATION (1.48e-27) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (7.23e-26) | GOBP_ELECTRON_TRANSPORT_CHAIN (3.09e-25)	postsynaptic proteasome (6.85e-02) | presynaptic proteasome (6.85e-02) | translation at postsynapse (GO:0140242) (1.08e-01) | protein catabolic process at presynapse (GO:0140247) (1.34e-01) | protein catabolic process at postsynapse (GO:0140249) (1.34e-01)	MED23 (2.09); PTEN (5.55); TSC1 (1.84)
109	GOBP_OXIDATIVE_PHOSPHORYLATION (4.39e-24) | GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS (4.39e-24) | GOBP_ATP_BIOSYNTHETIC_PROCESS (3.01e-20) | GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (3.20e-20) | GOBP_PROTON_TRANSMEMBRANE_TRANSPORT (3.84e-20)	translation at postsynapse (GO:0140242) (2.36e-12) | postsynaptic ribosome (5.16e-12) | presynaptic ribosome (5.16e-12) | translation at presynapse (GO:0140236) (5.16e-12) | synapse (GO:0045202) (1.91e-05)	CHD2 (1.62); KCNMA1 (1.65)
112	GOBP_CYTOPLASMIC_TRANSLATION (2.09e-71) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.41e-47) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.69e-43) | GOBP_TRANSLATION (1.71e-40) | GOBP_MYOBLAST_FUSION (1.10e-37)	postsynaptic ribosome (1.01e-69) | presynaptic ribosome (1.01e-69) | translation at presynapse (GO:0140236) (1.01e-69) | translation at postsynapse (GO:0140242) (2.37e-69) | synapse (GO:0045202) (7.43e-32)	EHMT1 (2.59)
113	 ()	presynaptic dense core vesicle exocytosis (GO:0099525) (1.94e-01) | synapse assembly (GO:0007416) (1.94e-01) | modification of postsynaptic actin cytoskeleton (GO:0098885) (1.94e-01) | postsynapse to nucleus signaling pathway (GO:0099527) (1.94e-01) | regulation protein catabolic process at postsynapse (GO:0140252) (1.94e-01)	SETD1A (6.56)
114	 ()	integral component of presynaptic active zone membrane (GO:0099059) (1.31e-01) | regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072) (1.31e-01) | presynaptic endocytic zone (GO:0098833) (1.31e-01) | synaptic vesicle to endosome fusion (GO:0016189) (1.31e-01) | neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887) (1.67e-01)	RB1CC1 (4.67)
115	 ()	extracellular matrix of synaptic cleft (GO:0098965) (9.38e-02) | postsynapse organization (GO:0099173) (1.54e-01) | regulation of postsynaptic density assembly (GO:0099151) (1.54e-01) | regulation of synapse organization (GO:0050807) (1.54e-01)	ANKRD11 (4.91)
116	 ()	 ()	SP4 (4.41)
117	GOBP_CELL_CELL_SIGNALING (2.76e-03) | GOBP_PATTERN_SPECIFICATION_PROCESS (6.17e-02) | GOBP_REGULATION_OF_SYSTEM_PROCESS (6.33e-02) | GOBP_REGULATION_OF_HEART_CONTRACTION (9.81e-02) | GOBP_SENSORY_SYSTEM_DEVELOPMENT (9.81e-02)	 ()	KDM6B (5.29)
118	GOBP_BICARBONATE_TRANSPORT (3.48e-02)	postsynaptic ER (1.80e-01)	TCF7L2 (4.67)
119	 ()	trans-synaptic signaling by BDNF, modulating synaptic transmission (GO:0099183) (1.06e-01) | regulation of postsynaptic membrane potential (GO:0060078) (1.31e-01) | integral component of postsynaptic membrane (GO:0099055) (1.31e-01) | integral component of presynaptic membrane (GO:0099056) (1.31e-01) | integral component of synaptic membrane (GO:0099699) (1.31e-01)	GABRA1 (2.50); GRIA3 (3.67); SHANK3 (1.66); SP4 (2.14)
120	GOBP_CYTOPLASMIC_TRANSLATION (3.67e-22) | GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (6.70e-19) | GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION (3.91e-17) | GOBP_TRANSLATION (2.68e-16) | GOBP_MYOBLAST_FUSION (1.55e-14)	translation at postsynapse (GO:0140242) (1.64e-15) | postsynaptic ribosome (4.22e-15) | presynaptic ribosome (4.22e-15) | translation at presynapse (GO:0140236) (4.22e-15) | synapse (GO:0045202) (4.75e-07)	DSCAM (1.68); MAGI2 (2.44); MBD5 (1.59); MED23 (2.44)
121	GOBP_SPERMATID_DIFFERENTIATION (1.07e-01) | GOBP_ANATOMICAL_STRUCTURE_MATURATION (1.07e-01) | GOBP_SPERM_CAPACITATION (1.07e-01) | GOBP_CELL_MATURATION (1.07e-01) | GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM (1.07e-01)	maintenance of postsynaptic specialization structure (GO:0098880) (8.62e-02) | regulation of synaptic vesicle endocytosis (GO:1900242) (1.18e-01) | regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578) (1.18e-01) | regulation of postsynaptic neurotransmitter receptor endocytosis (GO:0099149) (1.33e-01)	TRIP6 (6.68)
122	 ()	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507) (1.07e-01) | postsynaptic proteasome (1.07e-01) | presynaptic proteasome (1.07e-01) | protein catabolic process at presynapse (GO:0140247) (1.07e-01) | protein catabolic process at postsynapse (GO:0140249) (1.07e-01)	ARID1B (4.81)
123	 ()	integral component of presynaptic ER membrane (1.07e-01) | integral component of postsynaptic ER membrane (1.07e-01) | postsynaptic recycling endosome (GO:0098837) (1.07e-01) | neurotransmitter receptor transport to postsynaptic membrane (GO:0098969) (1.07e-01) | integral component of postsynaptic density membrane (GO:0099061) (1.07e-01)	CACNA1G (5.08)
124	GOBP_SOMITE_DEVELOPMENT (1.04e-01)	 ()	CUL1 (3.96)
